id,track_name,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,226864
6I9VzXrHxO9rA9A5euc8Ak,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800
0WqIKmW4BTrj3eJFmnCKMv,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,235933
1AWQoqb9bSvzTjaLralEkT,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,267267
1lzr43nnXAijIGYnCT8M8H,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,227600
0XUfyU2QviPAs6bxSpXYG4,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.881,0.788,2,-4.669,1,0.168,0.0212,0.0,0.0377,0.592,104.997,250373
68vgtRHr7iZHpzGpon6Jlo,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,223440
3BxWKCI06eQ5Od8TY2JBeA,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.57,0.821,2,-4.38,1,0.267,0.178,0.0,0.289,0.408,210.857,225560
7H6ev70Weq6DdpZyyTmUXk,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,271333
2PpruBYCo4H7WOBJ7Q2EwM,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213
2gam98EZKrF9XuOkU13ApN,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293
4Y45aqo9QMa57rDsAJv40A,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.71,0.553,4,-4.722,0,0.0292,0.00206,5.48e-05,0.0469,0.731,99.005,211693
1HwpWwa6bnqqRhK8agG4RS,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.66,0.666,9,-4.342,1,0.0472,0.0759,0.0,0.0268,0.933,89.975,214227
20ORwCJusz4KS2PbTPVNKo,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.687,0.71,9,-5.84,1,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,216880
7k6IzwMGpxnRghE7YosnXT,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,192213
1Bv0Yl01xBDZD4OQP93fyl,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.103,256427
4omisSlTk6Dsq2iQD7MA07,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000
7xYnUQigPoIDAMPVK79NEq,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,229867
6d8A5sAx9TfdeseDvfWNHd,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.705,0.796,7,-6.845,1,0.267,0.0708,0.0,0.388,0.864,166.042,210453
4pmc2AxSEq6g7hPVlJCPyP,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200
215JYyyUnrJ98NK3KEwu6d,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.717,0.733,4,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996,292307
0uqPG793dkDDN7sCUJJIVC,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,272533
19Js5ypV6JKn4DMExHQbGc,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.728,0.801,4,-3.636,1,0.0752,0.00349,0.000195,0.0907,0.813,119.989,193043
1JURww012QnWAw0zZXi6Aa,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.571,0.89,9,-1.6,1,0.0395,0.00509,0.0,0.0769,0.751,110.958,234147
7DFnq8FYhHMCylykf6ZCxA,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,229040
1TfAhjzRBWzYZ8IdUV3igl,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.659,0.869,11,-5.858,1,0.046,0.00357,0.0,0.302,0.811,106.966,201960
1Y4ZdPOOgCUhBcKZOrUFiS,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.619,0.87,2,-4.956,1,0.501,0.41,1.37e-06,0.0571,0.94,188.772,219773
6MjljecHzHelUDismyKkba,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.624,0.976,8,-5.355,1,0.0494,0.004,1.18e-05,0.376,0.514,142.008,199120
67T6l4q3zVjC5nZZPXByU8,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253
34ceTg8ChN5HjrqiIYCn9Q,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.673,0.683,1,-5.693,1,0.115,0.522,0.0,0.235,0.713,171.86,232000
5Q0Nhxo0l2bP3pNjpGJwV1,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067
6GIrIt2M39wEGwjCQjGChX,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,206520
4E5P1XyAFtrjpiIxkydly4,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307
3H1LCvO3fVsK2HPguhbml0,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.669,0.822,11,-4.288,1,0.043,0.0339,0.000142,0.231,0.43,120.011,277107
3uoQULcUWfnt6nc6J7Vgai,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.829,0.627,1,-3.928,1,0.0759,0.00663,0.0,0.0939,0.72,120.048,187133
2nbClS09zsIAqNkshg6jnp,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.709,0.745,4,-6.437,0,0.0738,0.0225,5.2e-05,0.154,0.576,126.027,234360
69ghzc538EQSVon2Gm3wrr,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,229107
1kusepF3AacIEtUTYrw4GV,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247,203760
7oK9VyNzrYvRFo7nQEYkWN,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
12qZHAeOyTf93YAWvGDTat,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.442,0.893,0,-4.878,1,0.0505,0.00844,0.0,0.529,0.712,148.119,168000
2jFlMILIQzs7lSFudG9lbo,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.938,0.735,7,-6.382,1,0.0434,0.00952,0.0,0.0998,0.55,103.7,229360
4I2GqMe7L2ccMpUbnDzYLH,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.719,0.839,5,-5.235,1,0.0257,0.00241,0.0,0.228,0.636,129.97,220920
5lDriBxJd22IhOH9zTcFrV,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,193653
2eJ8ij1T3cNUKiGdcUvKhy,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,0.73,0.848,5,-5.262,0,0.101,0.0494,0.0,0.133,0.559,65.025,213973
